"","stim_id","Race","Gender","Age","ethnicity","gender"
"98","WF-208","W","F",26.44444444,"white","female"
"99","WF-210","W","F",27.38461538,"white","female"
"100","WF-211","W","F",21.55172414,"white","female"
"101","WF-215","W","F",30.64,"white","female"
"102","WF-220","W","F",24.4137931,"white","female"
"103","WF-226","W","F",32.23809524,"white","female"
"104","WF-242","W","F",27.28571429,"white","female"
"105","WF-252","W","F",26.46428571,"white","female"
"106","WM-003","W","M",23.3452381,"white","male"
"107","WM-009","W","M",23.69565217,"white","male"
"108","WM-016","W","M",30.39534884,"white","male"
"109","WM-039","W","M",19.23863636,"white","male"
"110","WM-211","W","M",27.79310345,"white","male"
"111","WM-213","W","M",26.36,"white","male"
"112","WM-216","W","M",30.88461538,"white","male"
"113","WM-217","W","M",18.73076923,"white","male"
"114","WM-229","W","M",24.69565217,"white","male"
"115","WM-236","W","M",20.73076923,"white","male"
"116","WM-237","W","M",29,"white","male"
"117","WM-242","W","M",23.06896552,"white","male"
"118","WM-243","W","M",31.44,"white","male"
"119","WM-244","W","M",30.51851852,"white","male"
"120","WM-256","W","M",30.96153846,"white","male"
