region,stim_id,aggressive,attractive,caring,confident,dominant,emostable,intelligent,mean,responsible,sociable,trustworthy,unhappy,weird
Africa,AF-203,5.5,5.1,5.141025641025641,5.041666666666667,4.625,5.15,5.5,3.85,6.125,4.970588235294118,5.7631578947368425,4.6923076923076925,4.035714285714286
Africa,AF-204,6,3.1,5.346153846153846,4.458333333333333,4.65625,3.95,5.5,4.175,5.208333333333333,4.970588235294118,4.368421052631579,5.230769230769231,5.107142857142857
Africa,AF-205,5.888888888888889,4.35,4.9743589743589745,5.5,4.90625,5.3,5.5,4.875,6.125,5.147058823529412,4.947368421052632,4.730769230769231,4.107142857142857
Africa,AF-209,4.833333333333333,4.7,5.435897435897436,4.875,4.96875,6.05,6.090909090909091,4.275,4.708333333333333,5.794117647058823,5.631578947368421,4.346153846153846,3.4642857142857144
Africa,AF-211,5.722222222222222,3.85,4.4743589743589745,3.875,4.875,5.95,6.181818181818182,3.9,5.166666666666667,5.5,5.368421052631579,5.5,4.428571428571429
Africa,AF-212,6.055555555555555,3.35,5.038461538461538,3.5,4.25,4.2,3.5454545454545454,4.075,4.708333333333333,4.882352941176471,4.394736842105263,4.615384615384615,7.214285714285714
Africa,AF-222,4.5,4.35,5.0256410256410255,5.125,4.28125,5,5.136363636363637,4.45,4.666666666666667,5.235294117647059,5.342105263157895,5.884615384615385,4.535714285714286
Africa,AF-224,6.055555555555555,4.3,4.769230769230769,5.5,4.8125,4.75,5.545454545454546,4.1,5.958333333333333,5.147058823529412,5.2894736842105265,5,3.892857142857143
Africa,AF-228,5.555555555555555,4.35,4.666666666666667,5.416666666666667,4.6875,5.8,6,4.6,5.25,4.794117647058823,5.552631578947368,4.923076923076923,4.571428571428571
Africa,AF-229,4.388888888888889,5.8,5.051282051282051,6.041666666666667,4.8125,4.4,5.5,4.1,5.333333333333333,5.588235294117647,5.131578947368421,3.8461538461538463,3.9642857142857144
Africa,AF-230,5.277777777777778,5.3,5.153846153846154,5.333333333333333,5.09375,5.45,5.2272727272727275,4.9,5.625,5.882352941176471,5.7368421052631575,5.653846153846154,3.3214285714285716
Africa,AF-245,6.055555555555555,3.9,4.858974358974359,6,5.40625,6.3,5.7272727272727275,4.25,5.833333333333333,5.647058823529412,5.815789473684211,4.461538461538462,4.5
Africa,AF-248,5.666666666666667,4.25,5.730769230769231,5.791666666666667,5.5625,4.7,5,4.375,4.958333333333333,5.235294117647059,5.526315789473684,5.846153846153846,5.035714285714286
Africa,AF-250,3.8333333333333335,5,4.641025641025641,5.875,4.75,6.25,5.5,4.2,5.666666666666667,6.0588235294117645,6.052631578947368,4.538461538461538,3.607142857142857
Africa,AF-255,6.166666666666667,4.8,4.32051282051282,6.666666666666667,5.40625,5.75,6.136363636363637,4.75,4.541666666666667,5.264705882352941,5.2105263157894735,5.846153846153846,3.5357142857142856
Africa,AM-201,5.777777777777778,3.35,3.8461538461538463,4.333333333333333,5.3125,4.95,5.954545454545454,4.725,4.916666666666667,5.088235294117647,5,4.923076923076923,4.642857142857143
Africa,AM-202,5.833333333333333,3.55,3.6666666666666665,4.625,5,5.55,4.7727272727272725,5.525,5.5,4.5,4.552631578947368,5.3076923076923075,5.107142857142857
Africa,AM-204,4.888888888888889,4,4.243589743589744,4.916666666666667,4.625,6.35,6.318181818181818,3.75,5.166666666666667,5.029411764705882,5.131578947368421,4.153846153846154,4.142857142857143
Africa,AM-205,5.444444444444445,3,5.128205128205129,4.541666666666667,5.28125,5.9,5.954545454545454,4.675,6.416666666666667,4.352941176470588,5.342105263157895,3.8846153846153846,4.571428571428571
Africa,AM-209,5.666666666666667,3.85,4.538461538461538,4.833333333333333,5.5625,5.3,5.454545454545454,3.7,5.708333333333333,5.647058823529412,5.973684210526316,3.769230769230769,3.5
Africa,AM-210,4.555555555555555,4.25,4.551282051282051,5.625,5.375,5.25,5.454545454545454,4.425,5,5.323529411764706,4.368421052631579,5.269230769230769,3.4642857142857144
Africa,AM-211,4.944444444444445,4.2,4.564102564102564,5.875,6.09375,5.6,5.181818181818182,4.8,5.416666666666667,5.911764705882353,5.447368421052632,4.923076923076923,3.9285714285714284
Africa,AM-225,5,3.5,4.846153846153846,4.208333333333333,5.84375,5.35,5.909090909090909,3.8,4.416666666666667,4.9411764705882355,5.078947368421052,5.769230769230769,4.071428571428571
