session_id,project_id,user_id,proj_name,user_status
258,41,258,PSA1_ENG_USA_051,guest
273,41,271,PSA1_ENG_USA_051,guest
275,41,273,PSA1_ENG_USA_051,guest
276,62,274,PSA1_ENG_USA_026,guest
278,62,276,PSA1_ENG_USA_026,guest
279,62,277,PSA1_ENG_USA_026,guest
284,62,282,PSA1_ENG_USA_026,guest
285,62,283,PSA1_ENG_USA_026,guest
287,62,285,PSA1_ENG_USA_026,guest
288,62,286,PSA1_ENG_USA_026,guest
292,62,289,PSA1_ENG_USA_026,guest
299,36,297,PSA1_ENG_PSA_001,guest
302,41,301,PSA1_ENG_USA_051,guest
303,41,302,PSA1_ENG_USA_051,guest
307,41,305,PSA1_ENG_USA_051,guest
310,41,310,PSA1_ENG_USA_051,guest
313,62,313,PSA1_ENG_USA_026,guest
315,62,316,PSA1_ENG_USA_026,guest
316,62,318,PSA1_ENG_USA_026,guest
317,80,319,PSA1_TUR_test,guest
323,70,323,PSA1_FRE_test,guest
325,62,324,PSA1_ENG_USA_026,guest
327,62,326,PSA1_ENG_USA_026,guest
328,62,327,PSA1_ENG_USA_026,guest
335,62,336,PSA1_ENG_USA_026,guest
337,62,339,PSA1_ENG_USA_026,guest
339,62,341,PSA1_ENG_USA_026,guest
342,62,344,PSA1_ENG_USA_026,guest
344,62,346,PSA1_ENG_USA_026,guest
347,7,351,PSA1_ENG_AUS_008,guest
350,62,356,PSA1_ENG_USA_026,guest
351,62,357,PSA1_ENG_USA_026,guest
354,62,360,PSA1_ENG_USA_026,guest
357,62,364,PSA1_ENG_USA_026,guest
358,70,365,PSA1_FRE_test,guest
359,70,366,PSA1_FRE_test,guest
361,65,369,PSA1_ENG_USA_114,guest
362,65,370,PSA1_ENG_USA_114,guest
364,65,372,PSA1_ENG_USA_114,guest
368,59,378,PSA1_ENG_USA_039,guest
372,59,381,PSA1_ENG_USA_039,guest
373,59,382,PSA1_ENG_USA_039,guest
376,65,384,PSA1_ENG_USA_114,guest
377,4,386,PSA1_ENG_AUS_004,guest
378,4,387,PSA1_ENG_AUS_004,guest
381,4,398,PSA1_ENG_AUS_004,guest
383,4,400,PSA1_ENG_AUS_004,guest
385,4,402,PSA1_ENG_AUS_004,guest
386,4,404,PSA1_ENG_AUS_004,guest
389,4,406,PSA1_ENG_AUS_004,guest
399,1,419,PSA1_ENG_test,guest
400,1,420,PSA1_ENG_test,guest
402,1,425,PSA1_ENG_test,guest
404,65,431,PSA1_ENG_USA_114,guest
407,1,435,PSA1_ENG_test,guest
411,44,441,PSA1_ENG_USA_025,guest
412,44,445,PSA1_ENG_USA_025,guest
417,44,447,PSA1_ENG_USA_025,guest
426,65,455,PSA1_ENG_USA_114,guest
428,1,457,PSA1_ENG_test,guest
433,44,462,PSA1_ENG_USA_025,guest
434,44,464,PSA1_ENG_USA_025,guest
435,65,465,PSA1_ENG_USA_114,guest
437,44,467,PSA1_ENG_USA_025,guest
441,37,475,PSA1_ENG_USA_005,guest
442,44,476,PSA1_ENG_USA_025,guest
444,1,478,PSA1_ENG_test,guest
447,44,482,PSA1_ENG_USA_025,guest
450,44,484,PSA1_ENG_USA_025,guest
453,107,489,PSA1_FAS_test,guest
454,59,488,PSA1_ENG_USA_039,guest
455,109,490,PSA1_POL_test,guest
456,1,491,PSA1_ENG_test,guest
459,37,495,PSA1_ENG_USA_005,guest
461,50,498,PSA1_ENG_USA_003,guest
462,44,499,PSA1_ENG_USA_025,guest
463,44,500,PSA1_ENG_USA_025,guest
467,59,503,PSA1_ENG_USA_039,guest
468,59,504,PSA1_ENG_USA_039,guest
473,44,511,PSA1_ENG_USA_025,guest
476,59,509,PSA1_ENG_USA_039,guest
477,65,513,PSA1_ENG_USA_114,guest
481,44,520,PSA1_ENG_USA_025,guest
484,107,523,PSA1_FAS_test,guest
487,65,526,PSA1_ENG_USA_114,guest
494,50,537,PSA1_ENG_USA_003,guest
498,44,541,PSA1_ENG_USA_025,guest
507,1,552,PSA1_ENG_test,guest
509,77,555,PSA1_ITA_test,guest
514,4,561,PSA1_ENG_AUS_004,guest
518,1,567,PSA1_ENG_test,guest
519,44,568,PSA1_ENG_USA_025,guest
520,44,569,PSA1_ENG_USA_025,guest
521,29,570,PSA1_ENG_UK_018,guest
522,29,573,PSA1_ENG_UK_018,guest
524,65,575,PSA1_ENG_USA_114,guest
526,65,578,PSA1_ENG_USA_114,guest
527,59,579,PSA1_ENG_USA_039,guest
528,59,580,PSA1_ENG_USA_039,guest
530,65,582,PSA1_ENG_USA_114,guest
531,59,580,PSA1_ENG_USA_039,guest
533,59,581,PSA1_ENG_USA_039,guest
538,65,589,PSA1_ENG_USA_114,guest
539,70,590,PSA1_FRE_test,guest
547,44,599,PSA1_ENG_USA_025,guest
549,59,602,PSA1_ENG_USA_039,guest
551,70,604,PSA1_FRE_test,guest
553,1,606,PSA1_ENG_test,guest
554,1,606,PSA1_ENG_test,guest
555,1,606,PSA1_ENG_test,guest
559,59,610,PSA1_ENG_USA_039,guest
561,59,612,PSA1_ENG_USA_039,guest
562,50,613,PSA1_ENG_USA_003,guest
566,50,619,PSA1_ENG_USA_003,guest
568,50,621,PSA1_ENG_USA_003,guest
572,50,626,PSA1_ENG_USA_003,guest
575,50,630,PSA1_ENG_USA_003,guest
577,1,632,PSA1_ENG_test,guest
578,50,633,PSA1_ENG_USA_003,guest
579,50,634,PSA1_ENG_USA_003,guest
583,37,638,PSA1_ENG_USA_005,guest
586,4,642,PSA1_ENG_AUS_004,guest
589,29,645,PSA1_ENG_UK_018,guest
594,59,651,PSA1_ENG_USA_039,guest
599,59,656,PSA1_ENG_USA_039,guest
602,59,656,PSA1_ENG_USA_039,guest
605,65,661,PSA1_ENG_USA_114,guest
606,59,656,PSA1_ENG_USA_039,guest
609,50,664,PSA1_ENG_USA_003,guest
610,44,665,PSA1_ENG_USA_025,guest
612,59,667,PSA1_ENG_USA_039,guest
618,65,673,PSA1_ENG_USA_114,guest
619,65,674,PSA1_ENG_USA_114,guest
620,50,676,PSA1_ENG_USA_003,guest
626,50,682,PSA1_ENG_USA_003,guest
630,65,686,PSA1_ENG_USA_114,guest
632,1,689,PSA1_ENG_test,guest
633,65,690,PSA1_ENG_USA_114,guest
643,65,700,PSA1_ENG_USA_114,guest
649,1,705,PSA1_ENG_test,guest
651,1,705,PSA1_ENG_test,guest
653,41,710,PSA1_ENG_USA_051,guest
654,41,711,PSA1_ENG_USA_051,guest
661,41,718,PSA1_ENG_USA_051,guest
662,4,720,PSA1_ENG_AUS_004,guest
663,4,721,PSA1_ENG_AUS_004,guest
668,29,728,PSA1_ENG_UK_018,guest
669,59,730,PSA1_ENG_USA_039,guest
672,59,733,PSA1_ENG_USA_039,guest
675,59,736,PSA1_ENG_USA_039,guest
677,59,739,PSA1_ENG_USA_039,guest
679,59,741,PSA1_ENG_USA_039,guest
681,59,738,PSA1_ENG_USA_039,guest
682,59,740,PSA1_ENG_USA_039,guest
685,37,744,PSA1_ENG_USA_005,guest
695,44,753,PSA1_ENG_USA_025,guest
700,59,755,PSA1_ENG_USA_039,guest
701,59,759,PSA1_ENG_USA_039,guest
703,41,761,PSA1_ENG_USA_051,guest
707,41,765,PSA1_ENG_USA_051,guest
711,4,769,PSA1_ENG_AUS_004,guest
713,44,772,PSA1_ENG_USA_025,guest
717,44,776,PSA1_ENG_USA_025,guest
719,44,779,PSA1_ENG_USA_025,guest
722,4,783,PSA1_ENG_AUS_004,guest
723,4,784,PSA1_ENG_AUS_004,guest
725,4,786,PSA1_ENG_AUS_004,guest
729,107,790,PSA1_FAS_test,guest
731,124,791,PSA1_SLO_test,guest
733,124,791,PSA1_SLO_test,guest
735,124,793,PSA1_SLO_test,guest
736,124,794,PSA1_SLO_test,guest
737,124,788,PSA1_SLO_test,guest
744,119,805,PSA1_NOR_test,guest
745,119,805,PSA1_NOR_test,guest
746,111,805,PSA1_GER_test,guest
754,59,812,PSA1_ENG_USA_039,guest
756,59,813,PSA1_ENG_USA_039,guest
757,59,814,PSA1_ENG_USA_039,guest
758,59,815,PSA1_ENG_USA_039,guest
761,59,818,PSA1_ENG_USA_039,guest
766,44,824,PSA1_ENG_USA_025,guest
767,4,825,PSA1_ENG_AUS_004,guest
770,4,828,PSA1_ENG_AUS_004,guest
772,1,831,PSA1_ENG_test,guest
774,127,834,PSA1_THA_test,guest
777,127,837,PSA1_THA_test,guest
779,127,839,PSA1_THA_test,guest
782,4,847,PSA1_ENG_AUS_004,guest
