quest_id,user_id,session_id,question_id,dv,order,starttime,endtime,q_name
1,12,7,1,US,1,2018-11-20T22:12:55Z,2018-11-20T22:13:12Z,country
1,12,7,2,f,2,2018-11-20T22:12:55Z,2018-11-20T22:13:12Z,sex
1,12,7,3,29,3,2018-11-20T22:12:55Z,2018-11-20T22:13:12Z,age
1,12,7,4,white,4,2018-11-20T22:12:55Z,2018-11-20T22:13:12Z,ethnicity
1,13,8,1,AL,1,2018-11-21T07:05:00Z,2018-11-21T07:05:09Z,country
1,13,8,2,m,2,2018-11-21T07:05:00Z,2018-11-21T07:05:09Z,sex
1,13,8,3,11,3,2018-11-21T07:05:00Z,2018-11-21T07:05:09Z,age
1,13,8,4,NA,4,2018-11-21T07:05:00Z,2018-11-21T07:05:09Z,ethnicity
1,14,9,1,DE,1,2018-11-21T08:54:22Z,2018-11-21T08:54:37Z,country
1,14,9,2,m,2,2018-11-21T08:54:22Z,2018-11-21T08:54:37Z,sex
1,14,9,3,32,3,2018-11-21T08:54:22Z,2018-11-21T08:54:37Z,age
1,14,9,4,NA,4,2018-11-21T08:54:22Z,2018-11-21T08:54:37Z,ethnicity
1,29,15,1,US,1,2018-11-24T23:21:48Z,2018-11-24T23:22:54Z,country
1,29,15,2,m,2,2018-11-24T23:21:48Z,2018-11-24T23:22:54Z,sex
1,29,15,3,41,3,2018-11-24T23:21:48Z,2018-11-24T23:22:54Z,age
1,29,15,4,white,4,2018-11-24T23:21:48Z,2018-11-24T23:22:54Z,ethnicity
1,32,17,1,AU,1,2018-11-25T02:29:33Z,2018-11-25T02:30:11Z,country
1,32,17,2,m,2,2018-11-25T02:29:33Z,2018-11-25T02:30:11Z,sex
1,32,17,3,32,3,2018-11-25T02:29:33Z,2018-11-25T02:30:11Z,age
1,32,17,4,Caucasian,4,2018-11-25T02:29:33Z,2018-11-25T02:30:11Z,ethnicity
1,39,20,1,AU,1,2018-11-25T03:55:10Z,2018-11-25T03:55:50Z,country
1,39,20,2,f,2,2018-11-25T03:55:10Z,2018-11-25T03:55:50Z,sex
1,39,20,3,37,3,2018-11-25T03:55:10Z,2018-11-25T03:55:50Z,age
1,39,20,4,Middle Eastern,4,2018-11-25T03:55:10Z,2018-11-25T03:55:50Z,ethnicity
1,40,21,1,AU,1,2018-11-25T03:57:33Z,2018-11-25T03:58:26Z,country
1,40,21,2,f,2,2018-11-25T03:57:33Z,2018-11-25T03:58:26Z,sex
1,40,21,3,26,3,2018-11-25T03:57:33Z,2018-11-25T03:58:26Z,age
1,40,21,4,Caucasian/European,4,2018-11-25T03:57:33Z,2018-11-25T03:58:26Z,ethnicity
1,43,23,1,AU,1,2018-11-25T04:26:21Z,2018-11-25T04:28:35Z,country
1,43,23,2,f,2,2018-11-25T04:26:21Z,2018-11-25T04:28:35Z,sex
1,43,23,3,40,3,2018-11-25T04:26:21Z,2018-11-25T04:28:35Z,age
1,43,23,4,"Australian with English, Polish, Irish & Chinese ancestry",4,2018-11-25T04:26:21Z,2018-11-25T04:28:35Z,ethnicity
1,45,25,1,AU,1,2018-11-25T04:52:17Z,2018-11-25T04:52:57Z,country
1,45,25,2,f,2,2018-11-25T04:52:17Z,2018-11-25T04:52:57Z,sex
1,45,25,3,31,3,2018-11-25T04:52:17Z,2018-11-25T04:52:57Z,age
1,45,25,4,Australian,4,2018-11-25T04:52:17Z,2018-11-25T04:52:57Z,ethnicity
1,47,26,1,AU,1,2018-11-25T05:08:41Z,2018-11-25T05:09:25Z,country
1,47,26,2,f,2,2018-11-25T05:08:41Z,2018-11-25T05:09:25Z,sex
1,47,26,3,46,3,2018-11-25T05:08:41Z,2018-11-25T05:09:25Z,age
1,47,26,4,Anglo,4,2018-11-25T05:08:41Z,2018-11-25T05:09:25Z,ethnicity
1,52,30,1,AU,1,2018-11-25T06:26:56Z,2018-11-25T06:27:48Z,country
1,52,30,2,f,2,2018-11-25T06:26:56Z,2018-11-25T06:27:48Z,sex
1,52,30,3,44,3,2018-11-25T06:26:56Z,2018-11-25T06:27:48Z,age
1,52,30,4,Australian,4,2018-11-25T06:26:56Z,2018-11-25T06:27:48Z,ethnicity
1,54,31,1,AU,1,2018-11-25T07:19:53Z,2018-11-25T07:21:02Z,country
1,54,31,2,f,2,2018-11-25T07:19:53Z,2018-11-25T07:21:02Z,sex
1,54,31,3,29,3,2018-11-25T07:19:53Z,2018-11-25T07:21:02Z,age
1,54,31,4,Aussie,4,2018-11-25T07:19:53Z,2018-11-25T07:21:02Z,ethnicity
1,55,32,1,AU,1,2018-11-25T07:23:35Z,2018-11-25T07:24:15Z,country
1,55,32,2,f,2,2018-11-25T07:23:35Z,2018-11-25T07:24:15Z,sex
1,55,32,3,28,3,2018-11-25T07:23:35Z,2018-11-25T07:24:15Z,age
1,55,32,4,Caucasian,4,2018-11-25T07:23:35Z,2018-11-25T07:24:15Z,ethnicity
1,56,33,1,AU,1,2018-11-25T07:27:43Z,2018-11-25T07:28:15Z,country
1,56,33,2,f,2,2018-11-25T07:27:43Z,2018-11-25T07:28:15Z,sex
1,56,33,3,24,3,2018-11-25T07:27:43Z,2018-11-25T07:28:15Z,age
1,56,33,4,Caucasian,4,2018-11-25T07:27:43Z,2018-11-25T07:28:15Z,ethnicity
1,59,36,1,AU,1,2018-11-25T10:11:59Z,2018-11-25T10:13:08Z,country
1,59,36,2,f,2,2018-11-25T10:11:59Z,2018-11-25T10:13:08Z,sex
1,59,36,3,56,3,2018-11-25T10:11:59Z,2018-11-25T10:13:08Z,age
1,59,36,4,Brittish,4,2018-11-25T10:11:59Z,2018-11-25T10:13:08Z,ethnicity
1,60,37,1,AU,1,2018-11-25T10:41:04Z,2018-11-25T10:41:35Z,country
1,60,37,2,f,2,2018-11-25T10:41:04Z,2018-11-25T10:41:35Z,sex
1,60,37,3,24,3,2018-11-25T10:41:04Z,2018-11-25T10:41:35Z,age
1,60,37,4,South African,4,2018-11-25T10:41:04Z,2018-11-25T10:41:35Z,ethnicity
1,68,47,1,AU,1,2018-11-26T05:20:20Z,2018-11-26T05:24:22Z,country
1,68,47,2,f,2,2018-11-26T05:20:20Z,2018-11-26T05:24:22Z,sex
1,68,47,3,48,3,2018-11-26T05:20:20Z,2018-11-26T05:24:22Z,age
1,68,47,4,English/ German,4,2018-11-26T05:20:20Z,2018-11-26T05:24:22Z,ethnicity
1,71,49,1,AU,1,2018-11-26T12:56:07Z,2018-11-26T12:56:37Z,country
1,71,49,2,f,2,2018-11-26T12:56:07Z,2018-11-26T12:56:37Z,sex
1,71,49,3,27,3,2018-11-26T12:56:07Z,2018-11-26T12:56:37Z,age
1,71,49,4,AUS_006,4,2018-11-26T12:56:07Z,2018-11-26T12:56:37Z,ethnicity
1,71,49,1,AU,1,2018-11-26T12:57:59Z,2018-11-26T12:58:14Z,country
1,71,49,2,f,2,2018-11-26T12:57:59Z,2018-11-26T12:58:14Z,sex
1,71,49,3,27,3,2018-11-26T12:57:59Z,2018-11-26T12:58:14Z,age
1,71,49,4,Caucasian,4,2018-11-26T12:57:59Z,2018-11-26T12:58:14Z,ethnicity
1,74,51,1,US,1,2018-11-27T00:25:00Z,2018-11-27T00:25:45Z,country
1,74,51,2,m,2,2018-11-27T00:25:00Z,2018-11-27T00:25:45Z,sex
1,74,51,3,35,3,2018-11-27T00:25:00Z,2018-11-27T00:25:45Z,age
1,74,51,4,white,4,2018-11-27T00:25:00Z,2018-11-27T00:25:45Z,ethnicity
4,78,54,16,TR,1,2018-11-27T12:27:31Z,2018-11-27T12:32:21Z,country
4,78,54,17,m,2,2018-11-27T12:27:31Z,2018-11-27T12:32:21Z,sex
4,78,54,18,37,3,2018-11-27T12:27:31Z,2018-11-27T12:32:21Z,age
4,78,54,19,Türk,4,2018-11-27T12:27:31Z,2018-11-27T12:32:21Z,ethnicity
1,79,55,1,NA,1,2018-11-27T14:46:12Z,2018-11-27T14:46:15Z,country
1,79,55,2,NA,2,2018-11-27T14:46:12Z,2018-11-27T14:46:15Z,sex
1,79,55,3,NA,3,2018-11-27T14:46:12Z,2018-11-27T14:46:15Z,age
1,79,55,4,NA,4,2018-11-27T14:46:12Z,2018-11-27T14:46:15Z,ethnicity
1,84,56,1,US,1,2018-11-27T18:51:55Z,2018-11-27T18:52:19Z,country
1,84,56,2,f,2,2018-11-27T18:51:55Z,2018-11-27T18:52:19Z,sex
1,84,56,3,21,3,2018-11-27T18:51:55Z,2018-11-27T18:52:19Z,age
1,84,56,4,White,4,2018-11-27T18:51:55Z,2018-11-27T18:52:19Z,ethnicity
1,93,65,1,UY,1,2018-11-27T20:52:00Z,2018-11-27T20:52:40Z,country
1,93,65,2,m,2,2018-11-27T20:52:00Z,2018-11-27T20:52:40Z,sex
1,93,65,3,18,3,2018-11-27T20:52:00Z,2018-11-27T20:52:40Z,age
1,93,65,4,White,4,2018-11-27T20:52:00Z,2018-11-27T20:52:40Z,ethnicity
1,95,67,1,US,1,2018-11-27T20:56:34Z,2018-11-27T20:57:10Z,country
1,95,67,2,f,2,2018-11-27T20:56:34Z,2018-11-27T20:57:10Z,sex
1,95,67,3,18,3,2018-11-27T20:56:34Z,2018-11-27T20:57:10Z,age
1,95,67,4,Japanese,4,2018-11-27T20:56:34Z,2018-11-27T20:57:10Z,ethnicity
1,97,68,1,NA,1,2018-11-27T21:00:17Z,2018-11-27T21:00:21Z,country
1,97,68,2,NA,2,2018-11-27T21:00:17Z,2018-11-27T21:00:21Z,sex
1,97,68,3,NA,3,2018-11-27T21:00:17Z,2018-11-27T21:00:21Z,age
1,97,68,4,NA,4,2018-11-27T21:00:17Z,2018-11-27T21:00:21Z,ethnicity
1,102,72,1,US,1,2018-11-27T21:24:43Z,2018-11-27T21:25:26Z,country
1,102,72,2,f,2,2018-11-27T21:24:43Z,2018-11-27T21:25:26Z,sex
1,102,72,3,18,3,2018-11-27T21:24:43Z,2018-11-27T21:25:26Z,age
1,102,72,4,White,4,2018-11-27T21:24:43Z,2018-11-27T21:25:26Z,ethnicity
