country,region
ARG,South America
AUS,Australia & New Zealand
AUT,Western Europe
BEL,Western Europe
BRA,South America
CAN,USA & Canada
CHI,South America
CHN,Asia
COL,South America
DNK,Scandinavia
ECU,Central America & Mexico
ESA,Central America & Mexico
ESP,Western Europe
FIN,Scandinavia
FRA,Western Europe
GER,Western Europe
GRE,Western Europe
HUN,Eastern Europe
IND,Asia
IRI,Middle East
ITA,Western Europe
KEN,Africa
MAS,Asia
MEX,Central America & Mexico
NED,Western Europe
NGA,Africa
NOR,Scandinavia
NZL,Australia & New Zealand
PER,South America
POL,Eastern Europe
POR,Western Europe
PSA,USA & Canada
ROU,Eastern Europe
RSA,Africa
RUS,Eastern Europe
SRB,Eastern Europe
SUI,Western Europe
SVK,Eastern Europe
SWE,Scandinavia
TAI,Asia
THA,Asia
TUK,Middle East
TUR,Middle East
UAE,Middle East
UK,UK
USA,USA & Canada
SLV,Central America & Mexico
